iter	MultiClass
0	2.58917937
1	2.177019974
2	1.9121683
3	1.68160857
4	1.552867993
5	1.432396991
6	1.339528398
7	1.243705947
8	1.171526374
9	1.112214987
10	1.060087639
11	1.028279061
12	0.9819112152
13	0.9468290073
14	0.9207644847
15	0.8833785167
16	0.828641429
17	0.8055510775
18	0.7803185512
19	0.7659985273
20	0.7535479024
21	0.7237932656
22	0.6963218871
23	0.6770961104
24	0.6672246058
25	0.6432254966
26	0.6251266759
27	0.6219321808
28	0.6081966513
29	0.5977309381
30	0.591652675
31	0.5862378621
32	0.5717179956
33	0.5619736679
34	0.5589681581
35	0.5504037822
36	0.5419778933
37	0.5365989539
38	0.5265937019
39	0.5107669975
40	0.5059589221
41	0.5024344661
42	0.5001657249
43	0.4979852227
44	0.4927191523
45	0.4897811083
46	0.4892981811
47	0.4887645663
48	0.4874248784
49	0.4863957999
50	0.4809636421
51	0.4744606966
52	0.4716393737
53	0.4661796317
54	0.4656210397
55	0.4644150102
56	0.4612163228
57	0.458455881
58	0.4560112756
59	0.4461618337
60	0.4442869502
61	0.4384540276
62	0.4335816132
63	0.4306811524
64	0.4292546468
65	0.4240050067
66	0.4229972569
67	0.4215220429
68	0.4182145291
69	0.4158419514
70	0.4147873811
71	0.4138449709
72	0.4135952344
73	0.411090948
74	0.4097065869
75	0.4048673506
76	0.4046278522
77	0.4036350683
78	0.3951543566
79	0.3913927283
80	0.3911939634
81	0.3869748849
82	0.3865706382
83	0.3802964215
84	0.3770575686
85	0.3763824782
86	0.3756462794
87	0.3696940051
88	0.3683679544
89	0.3664657909
90	0.3644113545
91	0.3577688146
92	0.3536098743
93	0.3529962391
94	0.3479787052
95	0.3467921075
96	0.3458461584
97	0.3450327446
98	0.3409818584
99	0.3403377976
100	0.3365255972
101	0.3344862052
102	0.3319006313
103	0.3311237281
104	0.3271007551
105	0.3249278072
106	0.3248281025
107	0.3208428172
108	0.3194908705
109	0.3181834404
110	0.3180549672
111	0.3149334464
112	0.3137639918
113	0.3130109135
114	0.3123877209
115	0.3085039074
116	0.3075487936
117	0.3062646365
118	0.3051468914
119	0.3039447187
120	0.3019238281
121	0.2986634872
122	0.2972237363
123	0.2970085539
124	0.2966703994
125	0.2954030366
126	0.2953257857
127	0.2948677584
128	0.2927194735
129	0.2906267355
130	0.2890979297
131	0.2864697799
132	0.2853309729
133	0.2834876705
134	0.2823684871
135	0.2798805426
136	0.2796874857
137	0.2789547205
138	0.2782560301
139	0.277771904
140	0.2744686086
141	0.2731640482
142	0.2728821233
143	0.2726298742
