iter	Passed	Remaining
0	479	478743
1	937	468031
2	1437	477871
3	2003	498758
4	2490	495683
5	2886	478213
6	3297	467706
7	3711	460212
8	4152	457246
9	4616	457058
10	4966	446531
11	5428	446965
12	5855	444589
13	6243	439712
14	6720	441315
15	7146	439536
16	7517	434699
17	7978	435279
18	8373	432357
19	8825	432469
20	9254	431423
21	9667	429756
22	10071	427819
23	10467	425687
24	10908	425414
25	11323	424209
26	11730	422742
27	12214	424015
28	12566	420756
29	12952	418810
30	13354	417445
31	13829	418337
32	14243	417378
33	14679	417073
34	15159	417958
35	15572	417002
36	15990	416196
37	16465	416846
38	16871	415738
39	17294	415062
40	17761	415434
41	18212	415420
42	18678	415715
43	19154	416167
44	19562	415170
45	20029	415403
46	20513	415950
47	20993	416367
48	21476	416817
49	21964	417329
50	22441	417590
51	22868	416918
52	23334	416940
53	23793	416821
54	24278	417148
55	24761	417415
56	25245	417665
57	25699	417399
58	26177	417516
59	26615	416970
60	27059	416536
61	27525	416432
62	27949	415696
63	28433	415843
64	28903	415770
65	29329	415060
66	29801	415000
67	30269	414868
68	30742	414803
69	31237	415006
70	31722	415075
71	32188	414870
72	32672	414891
73	33137	414661
74	33600	414405
75	34000	413375
76	34507	413642
77	34982	413509
78	35410	412822
79	35785	411536
80	36265	411461
81	36731	411216
82	37211	411120
83	37580	409811
84	38058	409689
85	38534	409536
86	39000	409277
87	39465	409009
88	39965	409090
89	40391	408400
90	40810	407652
91	41212	406750
92	41659	406289
93	42132	406086
94	42566	405505
95	43043	405326
96	43506	405013
97	43975	404752
98	44414	404215
99	44891	404021
100	45343	403603
101	45784	403081
102	46224	402559
103	46694	402287
104	47170	402069
105	47615	401589
106	48108	401504
107	48554	401023
108	49027	400768
109	49492	400441
110	49978	400281
111	50364	399315
112	50847	399128
113	51316	398831
114	51803	398663
115	52246	398154
116	52706	397772
117	53154	397308
118	53616	396940
119	54092	396680
120	54535	396170
121	54931	395326
122	55396	394984
123	55879	394763
124	56361	394531
125	56815	394099
126	57294	393839
127	57771	393565
128	58223	393122
129	58613	392260
130	59097	392027
131	59536	391494
132	59958	390856
133	60414	390441
134	60878	390072
135	61342	389704
136	61859	389671
137	62350	389465
138	62819	389119
139	63307	388891
140	63699	388069
141	64154	387636
142	64628	387319
143	65110	387048
144	65583	386717
145	66033	386251
146	66478	385756
147	66904	385155
148	67376	384815
149	67779	384086
150	68268	383843
151	68729	383439
152	69184	383002
153	69649	382622
154	70075	382023
155	70501	381430
156	70925	380829
157	71402	380511
158	71855	380067
159	72328	379726
160	72758	379155
161	73219	378753
162	73694	378420
163	74148	377978
164	74611	377577
165	75097	377298
166	75575	376970
167	76052	376640
168	76530	376314
169	77014	376013
170	77489	375663
171	77951	375256
172	78407	374816
173	78881	374462
174	79330	373988
175	79800	373612
176	80277	373266
177	80725	372790
178	81140	372158
179	81552	371517
180	81980	370949
181	82448	370567
182	82899	370103
183	83358	369675
184	83822	369272
185	84237	368652
186	84692	368208
187	85171	367869
188	85597	367301
189	86068	366922
190	86502	366391
191	86963	365971
192	87406	365474
193	87829	364900
194	88314	364578
195	88733	363987
196	89197	363581
197	89642	363095
198	90075	362566
199	90555	362221
200	90996	361721
201	91419	361151
202	91862	360662
203	92324	360247
204	92777	359795
205	93235	359362
206	93688	358911
207	94167	358560
208	94569	357916
209	94990	357346
210	95438	356878
211	95922	356541
212	96334	355940
213	96785	355483
214	97238	355034
215	97646	354419
216	98092	353947
217	98513	353381
218	98964	352929
219	99435	352544
220	99907	352161
221	100365	351730
222	100842	351364
223	101253	350771
224	101715	350352
225	102195	349996
226	102639	349515
227	103129	349192
228	103612	348844
229	104048	348337
230	104545	348033
231	105029	347682
232	105510	347323
233	105935	346779
234	106381	346304
235	106799	345739
236	107235	345236
237	107682	344766
238	108163	344403
239	108628	343991
240	109109	343626
241	109580	343231
242	110053	342842
243	110497	342360
244	110971	341973
245	111428	341534
246	111902	341143
247	112342	340652
248	112801	340215
249	113269	339808
250	113746	339427
251	114194	338958
252	114668	338566
253	115141	338170
254	115620	337794
255	116072	337335
256	116562	336988
257	117024	336558
258	117502	336174
259	117933	335657
260	118352	335105
261	118830	334720
262	119272	334235
263	119741	333823
264	120183	333338
265	120631	332870
266	121092	332438
267	121583	332087
268	122038	331637
269	122448	331065
270	122915	330648
271	123372	330204
272	123849	329812
273	124316	329393
274	124791	328994
275	125261	328583
276	125701	328094
277	126168	327676
278	126620	327216
279	126993	326554
280	127434	326069
281	127904	325658
282	128382	325266
283	128838	324817
284	129285	324347
285	129745	323910
286	130161	323363
287	130646	322986
288	131108	322554
289	131577	322138
290	132053	321738
291	132528	321335
292	133002	320930
293	133479	320531
294	133948	320113
295	134425	319714
296	134833	319150
297	135314	318761
298	135765	318300
299	136189	317775
300	136590	317199
301	137023	316696
302	137519	316339
303	137987	315919
304	138473	315537
305	138937	315106
306	139393	314656
307	139866	314245
308	140299	313744
309	140718	313212
310	141193	312805
311	141656	312370
312	142129	311957
313	142627	311600
314	143066	311113
315	143531	310682
316	143967	310188
317	144393	309673
318	144858	309244
319	145325	308816
320	145772	308348
